每日晋级数据 TOP100
2015-12-10 晋级数据 TOP100 女子组 (总票数: 275456)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 19278 |  7.0% ] 宫内莲华 - 悠哉日常大王 第二季
[ 02 | 18298 |  6.6% ] 椎名真由理 - 命运石之门 聪明睿智的认知计算
[ 03 | 16648 |  6.0% ] 雾岛董香 - 东京食尸鬼 第二季
[ 04 | 15846 |  5.8% ] 由依 - Angel Beats OVA
[ 05 | 14285 |  5.2% ] 坂田银时(♀) - 银魂°
[ 06 | 13004 |  4.7% ] 橘万里花 - 伪恋 第二季
[ 07 | 12338 |  4.5% ] 赤瞳 - 斩·赤红之瞳
[ 08 | 11678 |  4.2% ] 结城美柑 - ToLoveRu Darkness 2nd
[ 09 | 11019 |  4.0% ] 翔鹤 - 舰队collection
[ 10 | 10922 |  4.0% ] 艾露莎·舒卡勒托 - 妖精的尾巴 第二季
[ 11 | 10307 |  3.7% ] 冲田总悟(♀) - 银魂°
[ 12 | 09941 |  3.6% ] 橘·希尔芬福特 - 干物妹小埋
[ 13 | 09812 |  3.6% ] 菈菈·萨塔琳·戴比路克 - ToLoveRu Darkness 2nd
[ 14 | 09424 |  3.4% ] 常守朱 - 心理测量者 第二季
[ 15 | 09354 |  3.4% ] 佐村薰 - 关于完全听不懂老公在说什么的事
[ 16 | 09316 |  3.4% ] 玛茵 - 斩·赤红之瞳
[ 17 | 09222 |  3.3% ] 不破冰菓 - 没有黄段子存在的无聊世界
[ 18 | 09207 |  3.3% ] 萩村铃 - 妄想学生会OVA
[ 19 | 08833 |  3.2% ] 爱宕 - 舰队collection
[ 20 | 07532 |  2.7% ] 纲手 - 火影忍者 疾风传
[ 21 | 07270 |  2.6% ] 种岛白杨 - 迷糊餐厅 第三季
[ 22 | 07246 |  2.6% ] 玛丽·马克贝斯 - 血界战线
[ 23 | 06580 |  2.4% ] 律 - 暗杀教室
[ 24 | 05198 |  1.9% ] 娜贝拉尔·伽玛 - OVERLORD
[ 25 | 04710 |  1.7% ] 今井绿 - 白箱
[ 26 | 04565 |  1.7% ] 提露密努斯·艾斯特 - 精灵使的剑舞OVA
[ 27 | 03623 |  1.3% ] 村野里美 - 寄生兽 生命的准则

2015-12-10 晋级数据 TOP100 男子组 (总票数: 251651)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 21177 |  8.4% ] 夜刀神狗朗 - K MISSING KINGS
[ 02 | 14400 |  5.7% ] 名濑博臣 - 境界的彼方 剧场版
[ 03 | 14171 |  5.6% ] 日向秀树 - Angel Beats OVA
[ 04 | 13303 |  5.3% ] 铃屋什造 - 东京食尸鬼 第二季
[ 05 | 12502 |  5.0% ] 萨博 - 海贼王
[ 06 | 11619 |  4.6% ] 迪奥·布兰度 - JOJO的奇妙冒险 星尘斗士 埃及篇
[ 07 | 11405 |  4.5% ] 界冢伊奈帆 - ALDNOAH ZERO 第二季
[ 08 | 11319 |  4.5% ] 银古 - 虫师 续章
[ 09 | 11036 |  4.4% ] 路德维希·贝什米特(德/国) - 黑塔利亚 第六季
[ 10 | 10802 |  4.3% ] 本田菊(日/本) - 黑塔利亚 第六季
[ 11 | 09998 |  4.0% ] 孙悟饭 - 龙珠改 魔人布欧篇
[ 12 | 09868 |  3.9% ] 间桐慎二 - Fate/stay night [UBW]
[ 13 | 09689 |  3.9% ] 绿间真太郎 - 黑子的篮球 第三季
[ 14 | 09041 |  3.6% ] 熊耳 - 夏洛特
[ 15 | 08309 |  3.3% ] 亚门钢太朗 - 东京食尸鬼 第二季
[ 16 | 08038 |  3.2% ] 菊丸英二 - 新网球王子OVA vs Genius10
[ 17 | 07836 |  3.1% ] 小林 - 乱步奇谭 Game of Laplace
[ 18 | 06764 |  2.7% ] 渡亮太 - 四月是你的谎言
[ 19 | 06666 |  2.6% ] 相马博臣 - 迷糊餐厅 第三季
[ 20 | 06502 |  2.6% ] 扎普·伦弗洛 - 血界战线
[ 21 | 06250 |  2.5% ] 威廉·马克贝斯 - 血界战线
[ 22 | 06099 |  2.4% ] 狗神 - 银仙
[ 23 | 05901 |  2.3% ] 刚田武(胖虎) - 哆啦A梦
[ 24 | 05605 |  2.2% ] 白马探 - 魔术快斗1412
[ 25 | 05198 |  2.1% ] 魔人布欧 - 龙珠改 魔人布欧篇
