复活海选对比数据 女子组 
序号: [ 复活票 | 海选票 | 海选顺位 ]
01: [ 19278 | 25834 | 01 ] 宫内莲华
02: [ 18298 | 24370 | 02 ] 椎名真由理
03: [ 16648 | 22307 | 03 ] 雾岛董香
04: [ 15846 | 17642 | 05 ] 由依
05: [ 14285 | 17883 | 04 ] 坂田银时(♀)
06: [ 13004 | 15469 | 08 ] 橘万里花
07: [ 12338 | 12477 | 15 ] 赤瞳
08: [ 11678 | 14563 | 09 ] 结城美柑
09: [ 11019 | 14411 | 10 ] 翔鹤
10: [ 10922 | 16034 | 07 ] 艾露莎·舒卡勒托
11: [ 10307 | 16289 | 06 ] 冲田总悟(♀)
12: [ 09941 | 10601 | 21 ] 橘·希尔芬福特
13: [ 09812 | 12185 | 16 ] 菈菈·萨塔琳·戴比路克
14: [ 09424 | 08715 | 24 ] 常守朱
15: [ 09354 | 13291 | 12 ] 佐村薰
16: [ 09316 | 13429 | 11 ] 玛茵
17: [ 09222 | 13224 | 13 ] 不破冰菓
18: [ 09207 | 10732 | 19 ] 萩村铃
19: [ 08833 | 09332 | 22 ] 爱宕
20: [ 07532 | 11339 | 17 ] 纲手
21: [ 07270 | 12488 | 14 ] 种岛白杨
22: [ 07246 | 10997 | 18 ] 玛丽·马克贝斯
23: [ 06580 | 10619 | 20 ] 律
24: [ 05198 | 07639 | 25 ] 娜贝拉尔·伽玛
25: [ 04710 | 06431 | 27 ] 今井绿
26: [ 04565 | 08935 | 23 ] 提露密努斯·艾斯特
27: [ 03623 | 07565 | 26 ] 村野里美
