复活海选对比数据 男子组 
序号: [ 复活票 | 海选票 | 海选顺位 ]
01: [ 21177 | 17830 | 01 ] 夜刀神狗朗
02: [ 14400 | 13188 | 08 ] 名濑博臣
03: [ 14171 | 15513 | 03 ] 日向秀树
04: [ 13303 | 16969 | 02 ] 铃屋什造
05: [ 12502 | 10722 | 12 ] 萨博
06: [ 11619 | 12066 | 11 ] 迪奥·布兰度
07: [ 11405 | 09253 | 17 ] 界冢伊奈帆
08: [ 11319 | 14410 | 04 ] 银古
09: [ 11036 | 05415 | 26 ] 路德维希·贝什米特(德/国)
10: [ 10802 | 09692 | 16 ] 本田菊(日/本)
11: [ 09998 | 12505 | 09 ] 孙悟饭
12: [ 09868 | 13497 | 07 ] 间桐慎二
13: [ 09689 | 08494 | 20 ] 绿间真太郎
14: [ 09041 | 08916 | 19 ] 熊耳
15: [ 08309 | 12251 | 10 ] 亚门钢太朗
16: [ 08038 | 10136 | 15 ] 菊丸英二
17: [ 07836 | 13794 | 06 ] 小林
18: [ 06764 | 10491 | 13 ] 渡亮太
19: [ 06666 | 08318 | 23 ] 相马博臣
20: [ 06502 | 08338 | 22 ] 扎普·伦弗洛
21: [ 06250 | 10282 | 14 ] 威廉·马克贝斯
22: [ 06099 | 09005 | 18 ] 狗神
23: [ 05901 | 14168 | 05 ] 刚田武(胖虎)
24: [ 05605 | 07408 | 25 ] 白马探
25: [ 05198 | 08359 | 21 ] 魔人布欧
26: [ 04759 | 08014 | 24 ] 冰室辰也
27: [ 03394 | 05157 | 27 ] 钢铁侠
