复活赛角色「海选顺位」数据 女子组 
01: [ 25834 | 11-25 ] 宫内莲华
02: [ 24370 | 11-07 ] 椎名真由理
03: [ 22307 | 11-22 ] 雾岛董香
04: [ 17883 | 12-01 ] 坂田银时(♀)
05: [ 17642 | 11-26 ] 由依
06: [ 16289 | 12-05 ] 冲田总悟(♀)
07: [ 16034 | 11-02 ] 艾露莎·舒卡勒托
08: [ 15469 | 11-15 ] 橘万里花
09: [ 14563 | 11-24 ] 结城美柑
10: [ 14411 | 11-30 ] 翔鹤
11: [ 13429 | 11-27 ] 玛茵
12: [ 13291 | 11-19 ] 佐村薰
13: [ 13224 | 12-04 ] 不破冰菓
14: [ 12488 | 11-21 ] 种岛白杨
15: [ 12477 | 11-01 ] 赤瞳
16: [ 12185 | 11-03 ] 菈菈·萨塔琳·戴比路克
17: [ 11339 | 11-06 ] 纲手
18: [ 10997 | 11-08 ] 玛丽·马克贝斯
19: [ 10732 | 12-03 ] 萩村铃
20: [ 10619 | 11-10 ] 律
21: [ 10601 | 11-04 ] 橘·希尔芬福特
22: [ 09332 | 11-11 ] 爱宕
23: [ 08935 | 11-09 ] 提露密努斯·艾斯特
24: [ 08715 | 10-31 ] 常守朱
25: [ 07639 | 11-05 ] 娜贝拉尔·伽玛
26: [ 07565 | 11-23 ] 村野里美
27: [ 06431 | 12-02 ] 今井绿
