复活赛角色「海选顺位」数据 男子组 
01: [ 17830 | 11-02 ] 夜刀神狗朗
02: [ 16969 | 12-05 ] 铃屋什造
03: [ 15513 | 11-27 ] 日向秀树
04: [ 14410 | 11-04 ] 银古
05: [ 14168 | 11-21 ] 刚田武(胖虎)
06: [ 13794 | 11-12 ] 小林
07: [ 13497 | 11-03 ] 间桐慎二
08: [ 13188 | 12-04 ] 名濑博臣
09: [ 12505 | 11-28 ] 孙悟饭
10: [ 12251 | 11-18 ] 亚门钢太朗
11: [ 12066 | 11-20 ] 迪奥·布兰度
12: [ 10722 | 11-30 ] 萨博
13: [ 10491 | 11-08 ] 渡亮太
14: [ 10282 | 11-22 ] 威廉·马克贝斯
15: [ 10136 | 11-05 ] 菊丸英二
16: [ 09692 | 11-29 ] 本田菊(日/本)
17: [ 09253 | 10-31 ] 界冢伊奈帆
18: [ 09005 | 11-09 ] 狗神
19: [ 08916 | 12-02 ] 熊耳
20: [ 08494 | 11-19 ] 绿间真太郎
21: [ 08359 | 12-01 ] 魔人布欧
22: [ 08338 | 11-17 ] 扎普·伦弗洛
23: [ 08318 | 11-06 ] 相马博臣
24: [ 08014 | 11-15 ] 冰室辰也
25: [ 07408 | 11-23 ] 白马探
26: [ 05415 | 11-01 ] 路德维希·贝什米特(德/国)
27: [ 05157 | 11-16 ] 钢铁侠
