每日晋级数据 TOP8
2015-12-05 晋级数据 TOP8 女子组 (总票数: 129943)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 36167 | 27.8% ] 栗山未来 - 境界的彼方 剧场版
[ 02 | 20684 | 15.9% ] 优纪(绀野木棉季) - 刀剑神域 第二季
[ 03 | 20360 | 15.7% ] 乙坂步未 - 夏洛特
[ 04 | 16289 | 12.5% ] 冲田总悟(♀) - 银魂°
[ 05 | 14152 | 10.9% ] 市松小雏 - 银仙
[ 06 | 08506 |  6.5% ] 田村由加莉 - 那就是声优
[ 07 | 07295 |  5.6% ] 卡莲·奥尔黛西亚 - 魔法少女伊莉雅2wei Herz
[ 08 | 06490 |  5.0% ] 山中井野 - 火影忍者 疾风传

2015-12-05 晋级数据 TOP8 男子组 (总票数: 136472)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 38091 | 27.9% ] 金木研 - 东京食尸鬼 第二季
[ 02 | 23969 | 17.6% ] 服部平次 - 名侦探柯南
[ 03 | 21127 | 15.5% ] 夏尔·凡多姆海威 - 黑执事 Book of Murder
[ 04 | 16969 | 12.4% ] 铃屋什造 - 东京食尸鬼 第二季
[ 05 | 11979 |  8.8% ] 橘真琴 - Free! TV未放送
[ 06 | 08595 |  6.3% ] 一濑红莲 - 终结的炽天使
[ 07 | 07968 |  5.8% ] 风早神人 - 精灵使的剑舞OVA
[ 08 | 07774 |  5.7% ] 永近英良 - 东京食尸鬼 第二季

2015-12-04 晋级数据 TOP8 女子组 (总票数: 109033)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 21123 | 19.4% ] 仲村由理 - Angel Beats OVA
[ 02 | 14923 | 13.7% ] 小黑 - 魔法少女伊莉雅2wei Herz
[ 03 | 13853 | 12.7% ] 朝比奈实玖瑠 - 小长门有希的消失
[ 04 | 13224 | 12.1% ] 不破冰菓 - 没有黄段子存在的无聊世界
[ 05 | 12623 | 11.6% ] 月咏 - 银魂°
[ 06 | 11509 | 10.6% ] 银仙(女版) - 银仙
[ 07 | 11487 | 10.5% ] 古手川唯 - ToLoveRu Darkness 2nd
[ 08 | 10291 |  9.4% ] 红马尾 - 我要成为双马尾

2015-12-04 晋级数据 TOP8 男子组 (总票数: 127574)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 35900 | 28.1% ] 卫宫士郎 - Fate/stay night [UBW]
[ 02 | 20228 | 15.9% ] Berserker - Fate/stay night [UBW]
[ 03 | 19521 | 15.3% ] 不二周助 - 新网球王子OVA vs Genius10
[ 04 | 14377 | 11.3% ] 奥间狸吉 - 没有黄段子存在的无聊世界
[ 05 | 13188 | 10.3% ] 名濑博臣 - 境界的彼方 剧场版
[ 06 | 10555 |  8.3% ] 贝尔·克朗尼 - 在地下城寻求邂逅是否搞错了什么
[ 07 | 08479 |  6.6% ] 柳生九兵卫(♂) - 银魂°
[ 08 | 05326 |  4.2% ] 喵太 - 记录的地平线 第二季

2015-12-03 晋级数据 TOP8 女子组 (总票数: 128709)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 36471 | 28.3% ] 天使(立华奏) - Angel Beats OVA
[ 02 | 25275 | 19.6% ] 夜刀神十香 - 约会大作战2 TV未放送
[ 03 | 16451 | 12.8% ] 爱丽丝菲尔 - 魔法少女伊莉雅2wei Herz
[ 04 | 14339 | 11.1% ] 电 - 舰队collection
[ 05 | 10732 |  8.3% ] 萩村铃 - 妄想学生会OVA
[ 06 | 09648 |  7.5% ] 佐仓慈 - 学园孤岛
[ 07 | 09127 |  7.1% ] 白雪 - 赤发白雪姬
[ 08 | 06666 |  5.2% ] 黑瞳 - 斩·赤红之瞳

2015-12-03 晋级数据 TOP8 男子组 (总票数: 103281)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 27207 | 26.3% ] 我爱罗 - 火影忍者 疾风传
[ 02 | 17565 | 17.0% ] 神原秋人 - 境界的彼方 剧场版
[ 03 | 14130 | 13.7% ] 岸谷新罗 - 无头骑士异闻录×2 承
[ 04 | 12614 | 12.2% ] 乌索普 - 海贼王
[ 05 | 08386 |  8.1% ] 弗朗西斯·波诺弗瓦(法/国) - 黑塔利亚 第六季
[ 06 | 08364 |  8.1% ] 兵藤一诚 - 高校龙中龙D×D BorN
[ 07 | 08218 |  8.0% ] 小鸟游宗太 - 迷糊餐厅 第三季
[ 08 | 06797 |  6.6% ] 佐藤润 - 迷糊餐厅 第三季

2015-12-02 晋级数据 TOP8 女子组 (总票数: 108344)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 37261 | 34.4% ] 时崎狂三 - 约会大作战2 TV未放送
[ 02 | 25747 | 23.8% ] 小泉花阳 - Love Live! The School Idol Movie
[ 03 | 11026 | 10.2% ] 宫永咲 - 咲日和
[ 04 | 09633 |  8.9% ] 桃园奈奈生 - 元气少女缘结神 第二季
[ 05 | 06431 |  5.9% ] 今井绿 - 白箱
[ 06 | 06427 |  5.9% ] 尤娜 - 晨曦公主
[ 07 | 06220 |  5.7% ] 一之濑双叶 - 那就是声优
[ 08 | 05599 |  5.2% ] 三浦优美子 - 我的青春恋爱物语果然有问题 第二季

2015-12-02 晋级数据 TOP8 男子组 (总票数: 115539)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 29991 | 26.0% ] 怪盗基德(黑羽快斗) - 魔术快斗1412
[ 02 | 26348 | 22.8% ] 志村新八 - 银魂°
[ 03 | 21902 | 19.0% ] 纳兹·多拉格尼尔 - 妖精的尾巴 第二季
[ 04 | 08916 |  7.7% ] 熊耳 - 夏洛特
[ 05 | 08235 |  7.1% ] 白泽 - 鬼灯的冷彻OAD
[ 06 | 07571 |  6.6% ] 千·威斯塔利亚 - 赤发白雪姬
[ 07 | 06858 |  5.9% ] 古泉一树 - 小长门有希的消失
[ 08 | 05718 |  4.9% ] 舞子集 - 伪恋 第二季

2015-12-01 晋级数据 TOP8 女子组 (总票数: 130576)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
