角色票力排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
001: [ 2015-11-29 | 01 | 38990 ] Archer - Fate/stay night [UBW]
002: [ 2015-11-17 | 01 | 38736 ] 坂田银时 - 银魂°
003: [ 2015-11-25 | 01 | 38150 ] 卫宫切嗣 - Fate/stay night [UBW]
004: [ 2015-12-05 | 01 | 38091 ] 金木研 - 东京食尸鬼 第二季
005: [ 2015-12-01 | 01 | 37937 ] 旗木卡卡西 - 火影忍者 疾风传
006: [ 2015-11-07 | 01 | 37523 ] 阿良良木历 - 凭物语
007: [ 2015-11-13 | 01 | 36395 ] 桐人(桐谷和人) - 刀剑神域 第二季
008: [ 2015-12-04 | 01 | 35900 ] 卫宫士郎 - Fate/stay night [UBW]
009: [ 2015-11-07 | 02 | 35268 ] 泉新一 - 寄生兽 生命的准则
010: [ 2015-11-24 | 01 | 35231 ] 吉尔伽美什 - Fate/stay night [UBW]
011: [ 2015-11-06 | 01 | 34166 ] 江户川柯南(工藤新一) - 名侦探柯南
012: [ 2015-11-10 | 01 | 33454 ] Lancer - Fate/stay night [UBW]
013: [ 2015-11-16 | 01 | 33274 ] 杀老师 - 暗杀教室
014: [ 2015-11-02 | 01 | 31377 ] 蒙奇·D·路飞 - 海贼王
015: [ 2015-11-02 | 02 | 31144 ] 宇智波鼬 - 火影忍者 疾风传
016: [ 2015-12-02 | 01 | 29991 ] 怪盗基德(黑羽快斗) - 魔术快斗1412
017: [ 2015-11-26 | 01 | 29651 ] 野崎梅太郎 - 月刊少女野崎君OVA
018: [ 2015-11-08 | 01 | 29546 ] 毛利小五郎 - 名侦探柯南
019: [ 2015-11-11 | 01 | 28814 ] 比企谷八幡 - 我的青春恋爱物语果然有问题 第二季
020: [ 2015-11-21 | 01 | 28048 ] 伊佐那社 - K MISSING KINGS
021: [ 2015-11-19 | 01 | 27972 ] 空 - 游戏人生OVA
022: [ 2015-11-02 | 03 | 27879 ] 漩涡鸣人 - 火影忍者 疾风传
023: [ 2015-11-29 | 02 | 27702 ] 宇智波佐助 - 火影忍者 疾风传
024: [ 2015-11-15 | 01 | 27598 ] 言峰绮礼 - Fate/stay night [UBW]
025: [ 2015-12-03 | 01 | 27207 ] 我爱罗 - 火影忍者 疾风传
026: [ 2015-11-22 | 01 | 27089 ] 赤羽业 - 暗杀教室
027: [ 2015-11-27 | 01 | 26862 ] 冲田总悟 - 银魂°
028: [ 2015-11-16 | 02 | 26748 ] 朱利叶斯·金斯利(鲁路修) - CodeGeass亡国的阿基德
029: [ 2015-11-26 | 02 | 26576 ] 艾伦·耶格尔 - 进击的巨人剧场版
030: [ 2015-11-12 | 01 | 26564 ] 户冢彩加 - 我的青春恋爱物语果然有问题 第二季
031: [ 2015-11-13 | 02 | 26448 ] 土方十四郎 - 银魂°
032: [ 2015-12-02 | 02 | 26348 ] 志村新八 - 银魂°
033: [ 2015-11-12 | 02 | 26333 ] 御子柴实琴 - 月刊少女野崎君OVA
034: [ 2015-11-29 | 03 | 26096 ] 小智 - 宠物小精灵XY
035: [ 2015-11-28 | 01 | 25477 ] 潮田渚 - 暗杀教室
036: [ 2015-11-08 | 02 | 25095 ] 周防尊 - K MISSING KINGS
037: [ 2015-10-31 | 01 | 25035 ] 利威尔·阿克曼 - 进击的巨人剧场版
038: [ 2015-11-19 | 02 | 25005 ] 幸平创真 - 食戟之灵
039: [ 2015-11-22 | 02 | 24943 ] 安兹·乌尔·恭 - OVERLORD
040: [ 2015-11-22 | 03 | 24875 ] 波特卡斯·D·艾斯 - 海贼王
041: [ 2015-11-01 | 01 | 24593 ] 土间太平 - 干物妹小埋
042: [ 2015-11-25 | 02 | 24521 ] 罗罗诺亚·索隆 - 海贼王
043: [ 2015-11-21 | 02 | 24485 ] 王耀(中/国) - 黑塔利亚 第六季
044: [ 2015-11-04 | 01 | 24286 ] 冈部伦太郎 - 命运石之门 聪明睿智的认知计算
045: [ 2015-12-05 | 02 | 23969 ] 服部平次 - 名侦探柯南
