复活票力排行榜 女子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
001: [ 2015-11-25 | 04 | 25834 ] 宫内莲华 - 悠哉日常大王 第二季
002: [ 2015-11-07 | 04 | 24370 ] 椎名真由理 - 命运石之门 聪明睿智的认知计算
003: [ 2015-11-02 | 04 | 22910 ] 本场切绘 - 干物妹小埋
004: [ 2015-11-22 | 04 | 22307 ] 雾岛董香 - 东京食尸鬼 第二季
005: [ 2015-11-07 | 05 | 20770 ] 叶 - 干物妹小埋
006: [ 2015-11-08 | 04 | 19994 ] 赤城 - 舰队collection
007: [ 2015-11-22 | 05 | 18901 ] 小野寺小咲 - 伪恋 第二季
008: [ 2015-11-07 | 06 | 18176 ] 薙切绘里奈 - 食戟之灵
009: [ 2015-12-01 | 04 | 17883 ] 坂田银时(♀) - 银魂°
010: [ 2015-11-26 | 04 | 17642 ] 由依 - Angel Beats OVA
011: [ 2015-11-11 | 04 | 16957 ] Caster - Fate/stay night [UBW]
012: [ 2015-12-05 | 04 | 16289 ] 冲田总悟(♀) - 银魂°
013: [ 2015-11-02 | 05 | 16034 ] 艾露莎·舒卡勒托 - 妖精的尾巴 第二季
014: [ 2015-11-18 | 04 | 15884 ] 七条天空 - 妄想学生会OVA
015: [ 2015-11-22 | 06 | 15687 ] 一色彩羽 - 我的青春恋爱物语果然有问题 第二季
016: [ 2015-11-15 | 04 | 15469 ] 橘万里花 - 伪恋 第二季
017: [ 2015-11-24 | 04 | 14563 ] 结城美柑 - ToLoveRu Darkness 2nd
018: [ 2015-11-30 | 04 | 14411 ] 翔鹤 - 舰队collection
019: [ 2015-12-03 | 04 | 14339 ] 电 - 舰队collection
020: [ 2015-12-05 | 05 | 14152 ] 市松小雏 - 银仙
021: [ 2015-11-26 | 05 | 13974 ] 北白川玉子 - 玉子市场 剧场版
022: [ 2015-11-12 | 04 | 13953 ] 克鲁鲁·采佩西 - 终结的炽天使
023: [ 2015-11-18 | 05 | 13727 ] 田所惠 - 食戟之灵
024: [ 2015-11-08 | 05 | 13578 ] 妮可·罗宾 - 海贼王
025: [ 2015-11-14 | 04 | 13458 ] 岩泽雅美 - Angel Beats OVA
026: [ 2015-11-27 | 04 | 13429 ] 玛茵 - 斩·赤红之瞳
027: [ 2015-11-04 | 04 | 13377 ] 艾拉 - 可塑性记忆
028: [ 2015-11-19 | 04 | 13291 ] 佐村薰 - 关于完全听不懂老公在说什么的事
029: [ 2015-12-04 | 04 | 13224 ] 不破冰菓 - 没有黄段子存在的无聊世界
030: [ 2015-11-06 | 04 | 13218 ] 黑羽柚咲 - 夏洛特
031: [ 2015-11-19 | 05 | 13156 ] 武藏 - 宠物小精灵XY
032: [ 2015-11-17 | 04 | 13119 ] 小野寺春 - 伪恋 第二季
033: [ 2015-11-03 | 04 | 12995 ] 北上 - 舰队collection
034: [ 2015-11-14 | 05 | 12918 ] 桂雏菊 - 旋风管家OAD
035: [ 2015-12-04 | 05 | 12623 ] 月咏 - 银魂°
036: [ 2015-11-17 | 05 | 12507 ] 拉媞珐·芙尔兰札 - 甘城光辉游乐园
037: [ 2015-11-21 | 04 | 12488 ] 种岛白杨 - 迷糊餐厅 第三季
038: [ 2015-11-12 | 05 | 12482 ] 斧乃木余接 - 凭物语
039: [ 2015-11-01 | 04 | 12477 ] 赤瞳 - 斩·赤红之瞳
040: [ 2015-11-12 | 06 | 12221 ] 丈枪由纪 - 学园孤岛
041: [ 2015-11-03 | 05 | 12185 ] 菈菈·萨塔琳·戴比路克 - ToLoveRu Darkness 2nd
042: [ 2015-11-28 | 04 | 12146 ] 土方十四郎(♀) - 银魂°
043: [ 2015-11-27 | 05 | 12137 ] 园原杏里 - 无头骑士异闻录×2 承
