复活票力排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
001: [ 2015-11-22 | 04 | 21324 ] 山治 - 海贼王
002: [ 2015-11-25 | 04 | 19774 ] 阿虚 - 小长门有希的消失
003: [ 2015-11-25 | 05 | 18360 ] 伏见猿比古 - K MISSING KINGS
004: [ 2015-11-02 | 04 | 17830 ] 夜刀神狗朗 - K MISSING KINGS
005: [ 2015-11-15 | 04 | 17515 ] 哈斯太 - 潜行吧奈亚子F
006: [ 2015-12-05 | 04 | 16969 ] 铃屋什造 - 东京食尸鬼 第二季
007: [ 2015-11-02 | 05 | 16959 ] 波风水门 - 火影忍者 疾风传
008: [ 2015-11-25 | 06 | 16952 ] 八田美咲 - K MISSING KINGS
009: [ 2015-11-21 | 04 | 16682 ] 堀政行 - 月刊少女野崎君OVA
010: [ 2015-11-27 | 04 | 15513 ] 日向秀树 - Angel Beats OVA
011: [ 2015-11-26 | 04 | 15218 ] 塔兹米 - 斩·赤红之瞳
012: [ 2015-11-27 | 05 | 15027 ] 黄濑凉太 - 黑子的篮球 第三季
013: [ 2015-11-07 | 04 | 14552 ] 若松博隆 - 月刊少女野崎君OVA
014: [ 2015-11-21 | 05 | 14498 ] 八坂真寻 - 潜行吧奈亚子F
015: [ 2015-11-29 | 04 | 14428 ] 狡啮慎也 - 心理测量者剧场版
016: [ 2015-11-04 | 04 | 14410 ] 银古 - 虫师 续章
017: [ 2015-12-04 | 04 | 14377 ] 奥间狸吉 - 没有黄段子存在的无聊世界
018: [ 2015-11-22 | 05 | 14217 ] 十一 - 关于完全听不懂老公在说什么的事
019: [ 2015-11-21 | 06 | 14168 ] 刚田武(胖虎) - 哆啦A梦
020: [ 2015-11-04 | 05 | 14113 ] 绫崎飒 - 旋风管家OAD
021: [ 2015-11-26 | 05 | 13945 ] 目暮十三 - 名侦探柯南
022: [ 2015-11-07 | 05 | 13877 ] 影男 - 乱步奇谭 Game of Laplace
023: [ 2015-11-12 | 04 | 13794 ] 小林 - 乱步奇谭 Game of Laplace
024: [ 2015-11-03 | 04 | 13497 ] 间桐慎二 - Fate/stay night [UBW]
025: [ 2015-11-30 | 04 | 13276 ] 宇智波斑 - 火影忍者 疾风传
026: [ 2015-12-04 | 05 | 13188 ] 名濑博臣 - 境界的彼方 剧场版
027: [ 2015-12-03 | 04 | 12614 ] 乌索普 - 海贼王
028: [ 2015-11-16 | 04 | 12537 ] 亚尔斯兰 - 亚尔斯兰战记
029: [ 2015-11-07 | 06 | 12512 ] 犬冢牙 - 火影忍者 疾风传
030: [ 2015-11-28 | 04 | 12505 ] 孙悟饭 - 龙珠改 魔人布欧篇
031: [ 2015-11-14 | 04 | 12321 ] 阿明·阿诺德 - 进击的巨人剧场版
032: [ 2015-11-18 | 04 | 12251 ] 亚门钢太朗 - 东京食尸鬼 第二季
033: [ 2015-11-19 | 04 | 12122 ] 十束多多良 - K MISSING KINGS
034: [ 2015-11-20 | 04 | 12066 ] 迪奥·布兰度 - JOJO的奇妙冒险 星尘斗士 埃及篇
035: [ 2015-12-05 | 05 | 11979 ] 橘真琴 - Free! TV未放送
036: [ 2015-11-14 | 05 | 11883 ] 龟仙人 - 龙珠·超
037: [ 2015-12-01 | 04 | 11624 ] 大路饼藏 - 玉子市场 剧场版
038: [ 2015-11-02 | 06 | 11449 ] 乌间惟臣 - 暗杀教室
039: [ 2015-11-14 | 06 | 11080 ] 李洛克 - 火影忍者 疾风传
