惨遭淘汰排行榜 女子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
001: [ 2015-11-07 | 07 | 15907 ] 西莉卡(绫野珪子) - 刀剑神域 第二季
002: [ 2015-11-07 | 08 | 14765 ] 露西·哈特菲利亚 - 妖精的尾巴 第二季
003: [ 2015-11-07 | 09 | 13251 ] 美游 - 魔法少女伊莉雅2wei Herz
004: [ 2015-12-04 | 07 | 11487 ] 古手川唯 - ToLoveRu Darkness 2nd
005: [ 2015-11-06 | 07 | 11189 ] 晓 - 记录的地平线 第二季
006: [ 2015-11-17 | 07 | 11047 ] 小玉 - 银魂°
007: [ 2015-11-22 | 07 | 11036 ] 黑木智子(小丧) - 丧女 TV未放送
008: [ 2015-11-06 | 08 | 10975 ] 切尔茜 - 斩·赤红之瞳
009: [ 2015-11-08 | 07 | 10863 ] 黑羽美砂 - 夏洛特
010: [ 2015-11-03 | 07 | 10650 ] 比睿 - 舰队collection
011: [ 2015-12-04 | 08 | 10291 ] 红马尾 - 我要成为双马尾
012: [ 2015-11-07 | 10 | 09954 ] 陆奥 - 舰队collection
013: [ 2015-11-19 | 07 | 09912 ] 早乙女乙女 - 没有黄段子存在的无聊世界
014: [ 2015-11-17 | 08 | 09617 ] 宫森葵 - 白箱
015: [ 2015-12-04 | 09 | 09467 ] 月野兔 - 美少女战士Crystal
016: [ 2015-12-03 | 07 | 09127 ] 白雪 - 赤发白雪姬
017: [ 2015-11-15 | 07 | 08706 ] 北白川馅子 - 玉子市场 剧场版
018: [ 2015-11-02 | 07 | 08649 ] 茅野枫 - 暗杀教室
019: [ 2015-11-24 | 07 | 08590 ] 忍野扇 - 凭物语
020: [ 2015-11-21 | 07 | 08527 ] 天天 - 火影忍者 疾风传
021: [ 2015-11-07 | 11 | 08478 ] 直树美纪 - 学园孤岛
022: [ 2015-11-28 | 07 | 08367 ] 大井 - 舰队collection
023: [ 2015-11-02 | 08 | 08238 ] 小鸟游空 - 要听爸爸的话OAD
024: [ 2015-11-07 | 12 | 08220 ] 新子憧 - 天才麻将少女 阿知贺篇SP
025: [ 2015-11-17 | 09 | 08068 ] 神通 - 舰队collection
026: [ 2015-11-24 | 08 | 07932 ] 伊丽莎白·里昂妮丝 - 七大罪
027: [ 2015-11-22 | 08 | 07859 ] 津田琴美 - 妄想学生会OVA
028: [ 2015-11-17 | 10 | 07847 ] 安吉拉·巴尔扎克 - 乐园追放
029: [ 2015-11-09 | 07 | 07824 ] 三叶睦美 - 妄想学生会OVA
030: [ 2015-11-21 | 08 | 07772 ] 神崎有希子 - 暗杀教室
031: [ 2015-11-20 | 07 | 07744 ] 拉芙拉·布迪威伊 - IS2 OVA 世界清洗篇
032: [ 2015-12-04 | 10 | 07643 ] 夏洛特·德诺阿 - IS2 OVA 世界清洗篇
033: [ 2015-11-19 | 08 | 07637 ] 新户绯沙子 - 食戟之灵
034: [ 2015-11-12 | 07 | 07587 ] 淡岛世理 - K MISSING KINGS
035: [ 2015-11-08 | 08 | 07450 ] 小鸟游雏 - 要听爸爸的话OAD
036: [ 2015-11-20 | 08 | 07441 ] 结城友奈 - 结城友奈是勇者
037: [ 2015-11-26 | 07 | 07395 ] 温蒂·玛贝尔 - 妖精的尾巴 第二季
038: [ 2015-11-20 | 09 | 07355 ] 西连寺春菜 - ToLoveRu Darkness 2nd
039: [ 2015-11-19 | 09 | 07349 ] 双叶杏 - 偶像大师 灰姑娘女孩
040: [ 2015-12-05 | 07 | 07295 ] 卡莲·奥尔黛西亚 - 魔法少女伊莉雅2wei Herz
041: [ 2015-11-20 | 10 | 07264 ] 君嶋加奈 - 寄生兽 生命的准则
042: [ 2015-11-13 | 07 | 07230 ] 伊400 - 苍蓝钢铁的琶音DC
043: [ 2015-11-17 | 11 | 07171 ] 伊欧娜(伊401) - 苍蓝钢铁的琶音DC
044: [ 2015-11-27 | 07 | 07041 ] 近藤勋(♀) - 银魂°
045: [ 2015-11-06 | 09 | 07004 ] 畑兰子 - 妄想学生会OVA
046: [ 2015-11-07 | 13 | 06967 ] 狩泽绘理华 - 无头骑士异闻录×2 承
047: [ 2015-11-28 | 08 | 06957 ] 黑白小姐 - 黑白小姐 第二季
048: [ 2015-11-18 | 07 | 06878 ] 栉川鸠子 - 日常系的异能战斗
049: [ 2015-11-25 | 07 | 06866 ] 船见结衣 - 摇曳百合OVA
050: [ 2015-11-09 | 08 | 06837 ] 榊凉子 - 食戟之灵
051: [ 2015-11-29 | 07 | 06787 ] 莎拉·肖恩 - 夏洛特
052: [ 2015-11-15 | 08 | 06677 ] 轰八千代 - 迷糊餐厅 第三季
053: [ 2015-11-28 | 09 | 06673 ] 鬼头鼓修理 - 没有黄段子存在的无聊世界
054: [ 2015-11-29 | 08 | 06669 ] 爱丽克斯·贝尼迪特 - 黑街
055: [ 2015-12-03 | 08 | 06666 ] 黑瞳 - 斩·赤红之瞳
056: [ 2015-11-04 | 07 | 06658 ] 鹭之宫伊澄 - 旋风管家OAD
057: [ 2015-11-20 | 11 | 06654 ] 小笠原纶子 - 白箱
058: [ 2015-11-15 | 09 | 06544 ] 乾日向子 - 食戟之灵
059: [ 2015-12-05 | 08 | 06490 ] 山中井野 - 火影忍者 疾风传
060: [ 2015-11-22 | 09 | 06417 ] 席尔菲 - 甘城光辉游乐园
061: [ 2015-11-05 | 07 | 06389 ] 天江衣 - 咲日和
062: [ 2015-12-01 | 07 | 06380 ] 薙切爱丽丝 - 食戟之灵
063: [ 2015-11-12 | 08 | 06368 ] 园城寺怜 - 天才麻将少女 阿知贺篇SP
064: [ 2015-11-26 | 08 | 06241 ] 泽部椿 - 四月是你的谎言
065: [ 2015-11-26 | 09 | 06221 ] 莉雅丝·吉蒙里 - 高校龙中龙D×D BorN
066: [ 2015-12-02 | 07 | 06220 ] 一之濑双叶 - 那就是声优
067: [ 2015-11-24 | 09 | 06213 ] 越谷夏海 - 悠哉日常大王 第二季
068: [ 2015-11-14 | 07 | 06200 ] 小花铃 - 那就是声优
069: [ 2015-11-10 | 07 | 06199 ] 姬岛朱乃 - 高校龙中龙D×D BorN
070: [ 2015-12-05 | 09 | 06171 ] 亚莉莎·伊莉妮提娜·阿米耶拉 - 噬神者
071: [ 2015-11-27 | 08 | 06144 ] 栗原千代 - 监狱学园
