惨遭淘汰排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
001: [ 2015-11-21 | 07 | 12650 ] 松冈凛 - Free! TV未放送
002: [ 2015-11-21 | 08 | 12348 ] 桥田至(桶子) - 命运石之门 聪明睿智的认知计算
003: [ 2015-11-07 | 07 | 11609 ] 东城刃更 - 新妹魔王的契约者
004: [ 2015-11-07 | 08 | 11316 ] 花轮和彦 - 樱桃小丸子 第二季
005: [ 2015-11-07 | 09 | 10932 ] 空木莲华 - 噬神者
006: [ 2015-11-07 | 10 | 10311 ] 吉尔桑达 - 七大罪
007: [ 2015-11-22 | 07 | 10164 ] 野原广志 - 蜡笔小新2014剧场版
008: [ 2015-11-21 | 09 | 09939 ] 高城丈士朗 - 夏洛特
009: [ 2015-11-14 | 07 | 09844 ] 坂本辰马 - 银魂°
010: [ 2015-11-14 | 08 | 09202 ] 叶山隼人 - 我的青春恋爱物语果然有问题 第二季
011: [ 2015-11-02 | 07 | 09059 ] 比克 - 龙珠改 魔人布欧篇
012: [ 2015-11-14 | 09 | 08973 ] 花京院典明 - JOJO的奇妙冒险 星尘斗士 埃及篇
013: [ 2015-11-28 | 07 | 08768 ] 藤原拓海 - 头文字D 新剧场版
014: [ 2015-11-21 | 10 | 08749 ] 唐吉诃德·多弗朗明哥 - 海贼王
015: [ 2015-11-25 | 07 | 08728 ] 神乐(♂) - 银魂°
016: [ 2015-11-20 | 07 | 08674 ] 塔克米·阿尔迪尼 - 食戟之灵
017: [ 2015-12-04 | 07 | 08479 ] 柳生九兵卫(♂) - 银魂°
018: [ 2015-11-20 | 08 | 08236 ] 沃里克·阿尔坎杰罗 - 黑街
019: [ 2015-12-03 | 07 | 08218 ] 小鸟游宗太 - 迷糊餐厅 第三季
020: [ 2015-11-25 | 08 | 08180 ] 大木博士 - 宠物小精灵XY
021: [ 2015-11-22 | 08 | 08151 ] 刘 - 黑执事 Book of Murder
022: [ 2015-11-22 | 09 | 08091 ] 宜野座伸元 - 心理测量者 第二季
023: [ 2015-12-05 | 07 | 07968 ] 风早神人 - 精灵使的剑舞OVA
024: [ 2015-11-30 | 07 | 07951 ] 阿尔弗雷德·F·琼斯(美/国) - 黑塔利亚 第六季
025: [ 2015-11-07 | 11 | 07938 ] 君月士方 - 终结的炽天使
026: [ 2015-11-19 | 07 | 07919 ] 爱徒勇气 - 漫画家与助手们OVA
027: [ 2015-12-05 | 08 | 07774 ] 永近英良 - 东京食尸鬼 第二季
028: [ 2015-11-03 | 07 | 07745 ] 黛千寻 - 黑子的篮球 第三季
029: [ 2015-11-30 | 08 | 07733 ] 绝望王 - 血界战线
030: [ 2015-11-04 | 07 | 07674 ] 特托拉 - 记录的地平线 第二季
031: [ 2015-11-25 | 09 | 07636 ] 四宫小次郎 - 食戟之灵
032: [ 2015-11-06 | 07 | 07631 ] 塞巴斯·蒂安 - OVERLORD
033: [ 2015-11-03 | 08 | 07625 ] 越前龙雅 - 新网球王子OVA vs Genius10
034: [ 2015-11-17 | 07 | 07530 ] 金(哈勒昆) - 七大罪
035: [ 2015-11-25 | 10 | 07444 ] 观束总二 - 我要成为双马尾
036: [ 2015-11-02 | 08 | 07356 ] 火神大我 - 黑子的篮球 第三季
037: [ 2015-10-31 | 07 | 07315 ] 叶山亮 - 食戟之灵
038: [ 2015-11-11 | 07 | 07309 ] 拉克萨斯·朵勒阿 - 妖精的尾巴 第二季
039: [ 2015-12-05 | 09 | 07221 ] 风间彻 - 蜡笔小新2014剧场版
040: [ 2015-11-02 | 09 | 07200 ] 奈良鹿丸 - 火影忍者 疾风传
041: [ 2015-11-06 | 08 | 07161 ] 游马崎沃克 - 无头骑士异闻录×2 承
042: [ 2015-11-18 | 07 | 07115 ] 穆罕默德·阿布德尔 - JOJO的奇妙冒险 星尘斗士 埃及篇
043: [ 2015-11-18 | 08 | 07065 ] 月见草胧 - 没有黄段子存在的无聊世界
044: [ 2015-11-02 | 10 | 06979 ] 安藤寿来 - 日常系的异能战斗
045: [ 2015-11-17 | 08 | 06915 ] 黑木场凉 - 食戟之灵
046: [ 2015-11-14 | 10 | 06877 ] 芳村 - 东京食尸鬼 第二季
047: [ 2015-12-02 | 07 | 06858 ] 古泉一树 - 小长门有希的消失
048: [ 2015-11-30 | 09 | 06823 ] 基尔伯特·贝什米特(普/鲁/士) - 黑塔利亚 第六季
049: [ 2015-12-03 | 08 | 06797 ] 佐藤润 - 迷糊餐厅 第三季
050: [ 2015-11-09 | 07 | 06783 ] 威尔 - 斩·赤红之瞳
051: [ 2015-11-04 | 08 | 06757 ] 龙 - 赤发白雪姬
052: [ 2015-11-28 | 08 | 06737 ] 门田京平 - 无头骑士异闻录×2 承
053: [ 2015-11-23 | 07 | 06598 ] 阿朱罗丸 - 终结的炽天使
054: [ 2015-11-05 | 07 | 06575 ] 索玛·希克扎尔 - 噬神者
055: [ 2015-11-21 | 11 | 06556 ] 迹部景吾 - 新网球王子OVA vs Genius10
056: [ 2015-10-31 | 08 | 06439 ] 水柿司 - 可塑性记忆
057: [ 2015-11-06 | 09 | 06438 ] 瑞希 - 元气少女缘结神 第二季
058: [ 2015-12-05 | 10 | 06411 ] 弗利萨 - 龙珠Z 复活的F
059: [ 2015-11-08 | 07 | 06299 ] 九重透流 - 绝对双刃
060: [ 2015-11-13 | 07 | 06274 ] 阿德雷特·麦亚 - 六花的勇者
061: [ 2015-11-11 | 08 | 06211 ] 狮子座艾奥里亚 - 圣斗士星矢 黄金魂
062: [ 2015-11-08 | 08 | 06186 ] 泰格勒威尔穆德·沃鲁恩 - 魔弹之王与战姬
063: [ 2015-12-03 | 09 | 06100 ] 伽吉鲁·雷特福克斯 - 妖精的尾巴 第二季
064: [ 2015-12-03 | 10 | 06062 ] 橘·阿历克斯 - 干物妹小埋
065: [ 2015-11-13 | 08 | 06052 ] 达龙 - 亚尔斯兰战记
066: [ 2015-12-05 | 11 | 06002 ] 紫原敦 - 黑子的篮球 第三季
067: [ 2015-11-13 | 09 | 05990 ] 西尾锦 - 东京食尸鬼 第二季
068: [ 2015-11-24 | 07 | 05985 ] 高尾和成 - 黑子的篮球 第三季
069: [ 2015-11-13 | 10 | 05943 ] 樱友藏(小丸子的爷爷) - 樱桃小丸子 第二季
070: [ 2015-11-23 | 08 | 05923 ] 马雷·莫莫罗·菲欧雷 - OVERLORD
071: [ 2015-11-07 | 12 | 05886 ] 戈尔道夫·奥欧拉 - 六花的勇者
072: [ 2015-11-06 | 10 | 05811 ] 龙己 - 我家浴缸的二三事
073: [ 2015-11-24 | 08 | 05767 ] 泷升 - 吹响！上低音号
074: [ 2015-11-24 | 09 | 05757 ] 须佐之男 - 斩·赤红之瞳
075: [ 2015-12-02 | 08 | 05718 ] 舞子集 - 伪恋 第二季
076: [ 2015-10-31 | 09 | 05686 ] 雪村透 - 青春×机关枪
077: [ 2015-11-08 | 09 | 05670 ] 羽柴 - 乱步奇谭 Game of Laplace
078: [ 2015-11-09 | 08 | 05632 ] 相座武士 - 四月是你的谎言
079: [ 2015-12-01 | 07 | 05596 ] 赤林海月 - 无头骑士异闻录×2 承
080: [ 2015-11-03 | 09 | 05575 ] 伊集院响 - 纯情罗曼史3
081: [ 2015-11-28 | 09 | 05549 ] 平和岛幽 - 无头骑士异闻录×2 承
082: [ 2015-11-09 | 09 | 05541 ] 制作人(武内骏辅) - 偶像大师 灰姑娘女孩
083: [ 2015-11-04 | 09 | 05517 ] 伊万·布拉金斯基 - 黑塔利亚 第六季
084: [ 2015-11-05 | 08 | 05463 ] 春日新 - 七人魔法使
085: [ 2015-11-07 | 13 | 05446 ] 大国主 - 元气少女缘结神 第二季
086: [ 2015-11-06 | 11 | 05392 ] 日向顺平 - 黑子的篮球 第三季
087: [ 2015-11-06 | 12 | 05372 ] 材木座义辉 - 我的青春恋爱物语果然有问题 第二季
088: [ 2015-12-04 | 08 | 05326 ] 喵太 - 记录的地平线 第二季
089: [ 2015-11-13 | 11 | 05186 ] 千手扉间 - 火影忍者 疾风传
090: [ 2015-12-03 | 11 | 05166 ] 叶月渚 - Free! TV未放送
091: [ 2015-11-28 | 10 | 05114 ] 明智 - 乱步奇谭 Game of Laplace
092: [ 2015-11-20 | 09 | 05035 ] 艾尔文·史密斯 - 进击的巨人剧场版
093: [ 2015-12-02 | 09 | 05014 ] 月咏(♂) - 银魂°
094: [ 2015-11-12 | 07 | 04976 ] 宫村虎之介 - 山田君与七个魔女
095: [ 2015-11-19 | 08 | 04976 ] 费里德·巴特利 - 终结的炽天使
096: [ 2015-11-22 | 10 | 04956 ] 海堂薰 - 新网球王子OVA vs Genius10
097: [ 2015-11-12 | 08 | 04915 ] 山崎宗介 - Free! TV未放送
098: [ 2015-11-01 | 07 | 04884 ] 轰力雷树 - 没有黄段子存在的无聊世界
099: [ 2015-12-05 | 12 | 04842 ] 小岛元太 - 名侦探柯南
100: [ 2015-12-01 | 08 | 04805 ] 撒旦先生 - 龙珠·超
101: [ 2015-11-23 | 09 | 04763 ] 菲尼安 - 黑执事 Book of Murder
102: [ 2015-11-14 | 11 | 04750 ] 千叶龙之介 - 暗杀教室
103: [ 2015-11-05 | 09 | 04745 ] 加斯帕·维拉迪 - 高校龙中龙D×D BorN
104: [ 2015-11-20 | 10 | 04737 ] 矶贝悠马 - 暗杀教室
105: [ 2015-11-30 | 10 | 04714 ] 那尔撒斯 - 亚尔斯兰战记
106: [ 2015-10-31 | 10 | 04593 ] 鲁邦三世 - 鲁邦三世剧场版 次元大介的墓碑
107: [ 2015-11-07 | 14 | 04579 ] 坂木 - 宠物小精灵XY
108: [ 2015-11-30 | 11 | 04531 ] 有马贵将 - 东京食尸鬼【JACK】
